ymd,open,high,low,close,volume,change_rate,trading_value,trading_value_institution,trading_value_other_corporation,trading_value_individual,trading_value_foreign,volume_institution,volume_other_corporation,volume_individual,volume_foreign,sma_5,ema_5,sma_20,ema_20,sma_60,ema_60,sma_120,ema_120,sma_240,ema_240,sma_480,ema_480,RSI,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,obv,mfi,fib_0,fib_23.6,fib_38.2,fib_50,fib_61.8,fib_100,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,cci,vwap,atr,adx,pivot,r1,s1,r2,s2,avg_volume_5,avg_trading_value_5
2023-02-16,9270.0,9420.0,9270.0,9340.0,43036.0,0.7551240560949299,401.95624,-25843670,-9310,113071790,-87218810,-2787,-1,12074,-9286,9374.0,9365.956668088593,9358.5,9386.39074676585,,,,,,,,,45.16937897487233,,,,9584.621648676106,9358.5,9132.378351323894,28.597168597168576,41.279301279301265,424250.0,52.3367287924081,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9415.0,9320.0,,,8170.0,-96.95290858725706,9371.757851287144,143.8569562125089,13.96976988193187,9343.333333333334,9416.666666666668,9266.666666666668,9493.333333333334,9193.333333333334,90751.4,851.1974640000001
2023-02-17,9310.0,9310.0,9180.0,9220.0,65459.0,-1.284796573875803,603.53198,11408580,74060000,44538000,-130006580,1229,8000,4833,-14062,9332.0,9317.304445392396,9361.0,9370.544008978626,,,,,,,,,39.47667189789439,,,,9579.714425678783,9361.0,9142.285574321217,15.632984901277565,27.653877409974957,358791.0,46.92810369642054,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9385.0,9320.0,,,8230.0,-196.79374389052006,9368.294403210915,145.01003076875824,14.504904923266546,9236.666666666666,9293.333333333332,9163.333333333332,9366.666666666666,9106.666666666666,89013.6,832.0607319999999
2023-02-20,9290.0,9360.0,9180.0,9320.0,41838.0,1.0845986984815619,389.93016,-717700,20327010,-146412870,126803560,-77,2200,-15765,13642,9310.0,9318.202963594931,9368.5,9365.730293837805,,,,,,,,,45.62653139349606,-6.875591736290517,14.271161077258512,-21.14675281354903,9570.12093145306,9368.5,9166.87906854694,24.15795586527292,22.796036454573027,400629.0,46.32862993545459,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9380.0,9320.0,,,8280.0,-121.06100795755836,9367.600072026155,147.5093142852755,14.463094053956237,9286.666666666666,9393.333333333332,9213.333333333332,9466.666666666666,9106.666666666666,78863.0,735.420138
2023-02-21,9320.0,9360.0,9250.0,9280.0,37717.0,-0.4291845493562232,350.01376,-14001170,0,113919370,-99918200,-1509,0,12252,-10743,9286.0,9305.468642396621,9372.5,9357.56550394849,,,,,,,,,43.71316002968387,-11.655521332762873,9.085824595254234,-20.741345928017108,9563.484292547842,9372.5,9181.515707452158,22.764227642276406,20.851722802942305,362912.0,45.069793036663434,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9355.0,9320.0,,,8290.0,-90.6427221172005,9366.47922107925,144.83007755061297,14.424269675310951,9296.666666666666,9343.333333333332,9233.333333333332,9406.666666666666,9186.666666666666,55684.6,516.63797
2023-02-22,9210.0,9210.0,9110.0,9120.0,80243.0,-1.7241379310344827,731.81616,-21273830,68508600,137601390,-184836160,-2333,7485,15032,-20184,9256.0,9243.645761597747,9368.0,9334.940217858157,,,,,,,,,37.02480562518403,-28.031186727916065,1.662422330620173,-29.69360905853624,9577.437341465175,9368.0,9158.562658534825,20.206639566395648,22.376274357981668,282669.0,36.02445444235417,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9315.0,9320.0,,,8310.0,-170.3333333333338,9359.947470520281,146.62792915414062,15.41998706895429,9146.666666666666,9183.333333333332,9083.333333333332,9246.666666666666,9046.666666666666,53658.6,495.44966000000005
2023-02-23,9130.0,9170.0,9110.0,9170.0,60906.0,0.5482456140350876,558.50802,5394360,83226320,-175644460,87023780,589,9100,-19219,9530,9222.0,9219.097174398497,9363.0,9319.23162568119,,,,,,,,,40.108740688099395,-36.55307629132221,-5.980677393768305,-30.57239889755391,9585.899080303172,9363.0,9140.100919696828,12.991192411924102,18.65401987353206,343575.0,41.10904056202364,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9315.0,9320.0,,,8300.0,-134.75851148060175,9356.202167747952,140.44021992884487,16.344581791623106,9150.0,9190.0,9130.0,9210.0,9090.0,57232.6,526.760016
2023-02-24,9210.0,9210.0,9080.0,9090.0,67888.0,-0.8724100327153763,617.10192,363590,5295400,165681280,-171340270,40,580,18154,-18774,9196.0,9176.064782932332,9353.0,9297.400042282981,,,,,,,,,36.98771146421663,-49.194977501498215,-14.623537415314289,-34.57144008618393,9604.24490044576,9353.0,9101.75509955424,5.514705882352923,12.904179286890896,275687.0,40.91294275965198,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9300.0,9320.0,,,8460.0,-123.0007077140842,9350.477418962446,139.69448993392737,16.720161614532056,9126.666666666666,9173.333333333332,9043.333333333332,9256.666666666666,8996.666666666666,57718.4,529.4740039999999
2023-02-27,9080.0,9090.0,8970.0,9090.0,61790.0,0.0,561.6711,41372440,74490570,-13867410,-101995600,4541,8266,-1499,-11308,9150.0,9147.376521954888,9341.0,9277.647657303649,,,,,,,,,36.98771146421663,-58.53897443252936,-23.406624818757304,-35.13234961377205,9617.181100005051,9341.0,9064.818899994949,11.377638487088808,9.96117892712195,275687.0,31.59772788433913,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9195.0,9280.0,,,8660.0,-144.62809917355472,9345.476825624077,138.28774065293257,17.824595890516797,9050.0,9130.0,9010.0,9170.0,8930.0,61708.8,563.822192
2023-02-28,9100.0,9110.0,9000.0,9020.0,45438.0,-0.77007700770077,409.85076,-216470,12529980,99453330,-111766840,-24,1383,11013,-12372,9098.0,9104.917681303259,9323.0,9253.109785179491,,,,,,,,,34.28072417644309,-70.77670451316772,-32.880640757639384,-37.89606375552833,9631.681065178931,9323.0,9014.318934821069,10.187162296612618,9.026502222018122,230249.0,34.04049156138638,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9195.0,9280.0,,,8630.0,-122.86886774855417,9340.945927066981,136.26718774915167,18.607086021848392,9043.333333333334,9086.666666666668,8976.666666666668,9153.333333333334,8933.333333333334,63253.0,575.789592
2023-03-02,9060.0,9080.0,9000.0,9000.0,59363.0,-0.22172949002217296,534.267,-3436550,27194470,82105000,-105862920,-381,3000,9109,-11728,9074.0,9069.945120868839,9301.5,9229.004091352874,,,,,,,,,33.52576394184834,-81.15353914029765,-42.53522043417104,-38.618318706126615,9636.180444603506,9301.5,8966.819555396494,11.351749343552605,10.972183375751348,170886.0,34.874297356812825,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9165.0,9280.0,,,8610.0,-112.29327453142376,9334.855905053832,132.24810290992656,19.333684000942018,9026.666666666666,9053.333333333332,8973.333333333332,9106.666666666666,8946.666666666666,59077.0,536.27976
2023-03-03,9020.0,9060.0,8970.0,9020.0,47021.0,0.2222222222222222,424.12942,549490,27119170,54528530,-82197190,61,3008,6064,-9133,9044.0,9053.296747245893,9278.5,9209.098939795456,,,,,,,,,35.06580477140854,-86.76326952747513,-51.380830252831856,-35.382439274643275,9624.001085381797,9278.5,8932.998914618203,7.824675324675307,9.787862321613513,217907.0,35.970622937677426,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9165.0,9280.0,,,8510.0,-100.38022813688262,9330.463325045543,129.23038127350324,20.22644043071862,9016.666666666666,9063.333333333332,8973.333333333332,9106.666666666666,8926.666666666666,56300.0,509.40404
2023-03-06,9050.0,9060.0,8960.0,8970.0,62057.0,-0.5543237250554324,556.65129,76421050,0,87955580,-164376630,8485,0,9808,-18293,9020.0,9025.531164830596,9257.0,9186.32761219589,,,,,,,,,33.00702472445533,-94.15820621797138,-59.93630544585976,-34.221900772111624,9622.518809365538,9257.0,8891.481190634462,5.443722943722926,8.206715870650283,155850.0,37.308069335300544,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9160.0,9275.0,,,8640.0,-98.59154929577507,9323.946377499398,127.14249689682444,21.12921521579358,8996.666666666666,9033.333333333332,8933.333333333332,9096.666666666666,8896.666666666666,55133.8,497.31391399999995
2023-03-07,8980.0,9110.0,8980.0,9100.0,55307.0,1.4492753623188406,503.2937,3536150,14917340,-105127520,86674030,389,1640,-11605,9576,9022.0,9050.354109887065,9240.5,9178.1059348439,,,,,,,,,42.465338803018575,-88.50856167385427,-65.65075669145867,-22.857804982395606,9603.072751320338,9240.5,8877.927248679662,13.770468661772995,9.012955643390413,211157.0,29.380807032605016,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9085.0,9275.0,,,8680.0,-55.380232303308546,9320.395182155775,128.0608899756227,21.251528738989027,9063.333333333334,9146.666666666668,9016.666666666668,9193.333333333334,8933.333333333334,53837.2,485.63843399999996
